antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_length,antecedents_str,consequents_str,branch
frozenset({'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general'}),"frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 12 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general'})",0.4166666666666667,0.15833333333333333,0.15,0.36,2.2736842105263158,1.0,0.08402777777777777,1.3151041666666667,0.9603174603174605,0.35294117647058826,0.2396039603960396,0.6536842105263159,5,perfect tmx tmt rebar 08 mm - perfect tmx tmt - general,"perfect tmx tmt rebar 10 mm - perfect tmx tmt - general, perfect tmx tmt rebar 12 mm - perfect tmx tmt - general, perfect tmx tmt rebar 16 mm - perfect tmx tmt - general, perfect tmx tmt rebar 20 mm - perfect tmx tmt - general",Pasakha Godown
frozenset({'perfect tmx tmt rebar 12 mm - perfect tmx tmt - general'}),"frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general'})",0.36666666666666664,0.2,0.15,0.4090909090909091,2.0454545454545454,1.0,0.07666666666666666,1.3538461538461541,0.8070175438596492,0.36000000000000004,0.26136363636363635,0.5795454545454545,5,perfect tmx tmt rebar 12 mm - perfect tmx tmt - general,"perfect tmx tmt rebar 08 mm - perfect tmx tmt - general, perfect tmx tmt rebar 10 mm - perfect tmx tmt - general, perfect tmx tmt rebar 16 mm - perfect tmx tmt - general, perfect tmx tmt rebar 20 mm - perfect tmx tmt - general",Pasakha Godown
frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general'}),"frozenset({'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 08 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 12 mm - perfect tmx tmt - general'})",0.43333333333333335,0.175,0.15,0.34615384615384615,1.978021978021978,1.0,0.07416666666666666,1.261764705882353,0.8725490196078431,0.3272727272727272,0.20745920745920748,0.6016483516483517,5,perfect tmx tmt rebar 20 mm - perfect tmx tmt - general,"perfect tmx tmt rebar 08 mm - perfect tmx tmt - general, perfect tmx tmt rebar 10 mm - perfect tmx tmt - general, perfect tmx tmt rebar 12 mm - perfect tmx tmt - general, perfect tmx tmt rebar 16 mm - perfect tmx tmt - general",Pasakha Godown
"frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general'})",frozenset({'perfect tmx tmt rebar 25 mm - perfect tmx tmt - general'}),0.24166666666666667,0.31666666666666665,0.14166666666666666,0.5862068965517241,1.851179673321234,1.0,0.06513888888888889,1.6513888888888888,0.6063348416289593,0.33999999999999997,0.3944491169049621,0.5167876588021778,3,"perfect tmx tmt rebar 16 mm - perfect tmx tmt - general, perfect tmx tmt rebar 20 mm - perfect tmx tmt - general",perfect tmx tmt rebar 25 mm - perfect tmx tmt - general,Pasakha Godown
"frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 25 mm - perfect tmx tmt - general'})",frozenset({'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general'}),0.25833333333333336,0.31666666666666665,0.14166666666666666,0.5483870967741935,1.731748726655348,1.0,0.0598611111111111,1.513095238095238,0.5697290152015861,0.3269230769230769,0.3391030684500393,0.49787775891341257,3,"perfect tmx tmt rebar 20 mm - perfect tmx tmt - general, perfect tmx tmt rebar 25 mm - perfect tmx tmt - general",perfect tmx tmt rebar 16 mm - perfect tmx tmt - general,Pasakha Godown
"frozenset({'perfect tmx tmt rebar 25 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general'})",frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general'}),0.14166666666666666,0.43333333333333335,0.14166666666666666,1.0,2.3076923076923075,1.0,0.08027777777777778,inf,0.6601941747572815,0.3269230769230769,1.0,0.6634615384615384,3,"perfect tmx tmt rebar 16 mm - perfect tmx tmt - general, perfect tmx tmt rebar 25 mm - perfect tmx tmt - general",perfect tmx tmt rebar 20 mm - perfect tmx tmt - general,Pasakha Godown
frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general'}),"frozenset({'perfect tmx tmt rebar 25 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general'})",0.43333333333333335,0.14166666666666666,0.14166666666666666,0.3269230769230769,2.307692307692308,1.0,0.08027777777777778,1.2752380952380953,1.0000000000000002,0.3269230769230769,0.21583271097834203,0.6634615384615384,3,perfect tmx tmt rebar 20 mm - perfect tmx tmt - general,"perfect tmx tmt rebar 16 mm - perfect tmx tmt - general, perfect tmx tmt rebar 25 mm - perfect tmx tmt - general",Pasakha Godown
frozenset({'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general'}),"frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 25 mm - perfect tmx tmt - general'})",0.31666666666666665,0.25833333333333336,0.14166666666666666,0.4473684210526316,1.731748726655348,1.0,0.0598611111111111,1.3420634920634922,0.6183644189383068,0.3269230769230769,0.2548787699586043,0.49787775891341257,3,perfect tmx tmt rebar 16 mm - perfect tmx tmt - general,"perfect tmx tmt rebar 20 mm - perfect tmx tmt - general, perfect tmx tmt rebar 25 mm - perfect tmx tmt - general",Pasakha Godown
frozenset({'perfect tmx tmt rebar 25 mm - perfect tmx tmt - general'}),"frozenset({'perfect tmx tmt rebar 20 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general'})",0.31666666666666665,0.24166666666666667,0.14166666666666666,0.4473684210526316,1.851179673321234,1.0,0.06513888888888889,1.3722222222222222,0.672883787661406,0.33999999999999997,0.27125506072874495,0.5167876588021778,3,perfect tmx tmt rebar 25 mm - perfect tmx tmt - general,"perfect tmx tmt rebar 16 mm - perfect tmx tmt - general, perfect tmx tmt rebar 20 mm - perfect tmx tmt - general",Pasakha Godown
"frozenset({'perfect tmx tmt rebar 25 mm - perfect tmx tmt - general', 'perfect tmx tmt rebar 16 mm - perfect tmx tmt - general'})",frozenset({'perfect tmx tmt rebar 10 mm - perfect tmx tmt - general'}),0.14166666666666666,0.5083333333333333,0.11666666666666667,0.823529411764706,1.6200578592092576,1.0,0.04465277777777779,2.7861111111111123,0.44590846047156735,0.21875000000000006,0.6410767696909274,0.5265188042430087,3,"perfect tmx tmt rebar 16 mm - perfect tmx tmt - general, perfect tmx tmt rebar 25 mm - perfect tmx tmt - general",perfect tmx tmt rebar 10 mm - perfect tmx tmt - general,Pasakha Godown
